product_id,address,price,area,bedrooms_num,bathrooms_num
26279737,"Quận 9, Hồ Chí Minh",23 tỷ,200 m²,6,4
42047085,"Bắc Từ Liêm, Hà Nội",Giá thỏa thuận,99 m²,2,2
41988538,"Dương Kinh, Hải Phòng","15,5 tỷ",290 m²,4,5
41818125,"Nhà Bè, Hồ Chí Minh","7,8 tỷ",81 m²,4,5
38908688,"Chương Mỹ, Hà Nội","6,25 tỷ",2.500 m²,0,0
40684077,"Ba Đình, Hà Nội",16 tỷ,115 m²,3,2
37321720,"Quận 9, Hồ Chí Minh","3,4 tỷ",67 m²,2,2
42125426,"Hải Châu, Đà Nẵng",21 tỷ,170 m²,0,0
41998876,"Nhà Bè, Hồ Chí Minh","4,2 tỷ",79 m²,2,1
39576953,"Hoàng Mai, Hà Nội",Giá thỏa thuận,95 m²,0,0
40905650,"Hà Đông, Hà Nội","11,8 tỷ",50 m²,4,0
38491818,"Quận 7, Hồ Chí Minh","5,55 tỷ",106 m²,2,2
42125148,"Cầu Giấy, Hà Nội","7,68 tỷ",39 m²,4,4
42124876,"Ba Đình, Hà Nội","8,15 tỷ","46,9 m²",6,4
42124673,"Hoài Đức, Hà Nội","14,5 tỷ",100 m²,0,0
41823005,"Sơn Trà, Đà Nẵng",4 tỷ,"58,2 m²",2,2
40150152,"Nhà Bè, Hồ Chí Minh","3,5 tỷ",98 m²,0,0
42124447,"Quận 9, Hồ Chí Minh","4,38 tỷ",80 m²,2,2
42124279,"Hà Đông, Hà Nội",37 tỷ,180 m²,5,6
42124197,"Quận 1, Hồ Chí Minh",850 tỷ,"914,3 m²",0,0
42124038,"Nam Từ Liêm, Hà Nội","15,8 tỷ",85 m²,0,0
42110560,"Hà Đông, Hà Nội",Giá thỏa thuận,120 m²,0,0
38167421,"Bình Thạnh, Hồ Chí Minh",65 tỷ,381 m²,5,4
42076606,"Đống Đa, Hà Nội","19,5 tỷ",44 m²,6,3
40770706,"Bến Cát, Bình Dương",Giá thỏa thuận,2.400 m²,0,0
42110229,"Nha Trang, Khánh Hòa","34,13 tỷ","284,4 m²",0,0
42110200,"Quận 3, Hồ Chí Minh",85 tỷ,200 m²,0,0
42044810,"Tân Phú, Hồ Chí Minh","7,04 tỷ",120 m²,3,3
41232527,"Quận 2, Hồ Chí Minh",Giá thỏa thuận,75 m²,2,2
41609684,"Bình Thạnh, Hồ Chí Minh","6,5 tỷ",90 m²,2,2
42109933,"Cầu Giấy, Hà Nội",19 tỷ,78 m²,12,13
42109573,"Ba Đình, Hà Nội","5,6 tỷ",50 m²,0,0
